,date,region,league,team_a,team_b,team_a_score,team_b_score,status,penalties
0,2023-08-21,Peru,Liga 1 Clausura,Cienciano,Alianza Lima,0,0,FT,NA
1,2023-08-21,Peru,Liga 1 Clausura,Sport Boys,Atletico Grau,1,1,FT,NA
2,2023-08-21,Peru,Liga 1 Clausura,Utc,Deportivo Binacional,3,2,FT,NA
3,2023-08-21,Israel,Toto League Cup,Hapoel Petah Tikva,Maccabi Bnei Raina,2,1,FT,NA
4,2023-08-21,England,Premier League 2,West Brom (u21),Blackburn (u23),3,3,FT,NA
5,2023-08-21,England,Premier League 2,Stoke City (u21),Wolves (21),2,1,FT,NA
6,2023-08-21,Spain,Laliga2,Villarreal B,CD Eldense,3,1,FT,NA
7,2023-08-21,Spain,Laliga2,Huesca,Tenerife,0,2,FT,NA
8,2023-08-21,Denmark,Superligaen,Viborg,Vejle,2,1,FT,NA
9,2023-08-21,Norway,3. Divisjon Avd. 5,Rosenborg 2,Kolstad,5,0,FT,NA
10,2023-08-21,Sweden,Ettan Soedra,Norrby If,Ahlafors If,4,1,FT,NA
11,2023-08-21,Sweden,2. Division Soedra Goetaland,Kristianstad FC,IFK Malmo Fk,3,3,FT,NA
12,2023-08-21,Norway,3. Divisjon Avd. 4,Donn,Fredrikstad 2,1,0,FT,NA
13,2023-08-21,Norway,3. Divisjon Avd. 4,Sandefjord 2,Halsen,3,2,FT,NA
14,2023-08-21,Norway,3. Divisjon Avd. 4,Start 2,Randesund,4,0,FT,NA
15,2023-08-21,Norway,3. Divisjon Avd. 4,Odd Ballklubb 2,Eik-toensberg,2,3,FT,NA
16,2023-08-21,Bulgaria,First Professional League,CSKA 1948,Etar Veliko Tarnovo,1,0,FT,NA
17,2023-08-21,Poland,Ekstraklasa,Cracovia Krakow,Piast Gliwice,1,1,FT,NA
18,2023-08-21,Faroe Islands,Premier League,B36 Torshavn,B68 Toftir,2,0,FT,NA
19,2023-08-21,Cyprus,1. Division,Aris Limassol,A. E. Kition Larnaca,2,0,FT,NA
20,2023-08-21,Cyprus,1. Division,Doxa Katokopias,A.e.l.,0,1,FT,NA
21,2023-08-21,Cyprus,1. Division,Omonia,Nea Salamis,4,0,FT,NA
22,2023-08-21,Spain,Laliga,Alaves,Sevilla,4,3,FT,NA
23,2023-08-21,Spain,Laliga,Granada Cf,Rayo Vallecano,0,2,FT,NA
24,2023-08-21,Italy,Serie A,Torino,Cagliari,0,0,FT,NA
25,2023-08-21,Italy,Serie A,Bologna,ACMilan,0,2,FT,NA
26,2023-08-21,France,National,Le Mans,Dijon,1,1,FT,NA
27,2023-08-21,Sweden,Allsvenskan,IFK Norrkoping,Aik,3,1,FT,NA
28,2023-08-21,Portugal,Liga Portugal 2,Torreense,Nacional,3,0,FT,NA
29,2023-08-21,Portugal,Liga Portugal 2,Leixoes,Santa Clara,0,0,FT,NA
30,2023-08-21,Norway,2. Divisjon Avd. 1,Notodden,Aalesund 2,1,0,FT,NA
31,2023-08-21,Norway,2. Divisjon Avd. 1,Valerenga 2,Lyn,1,2,FT,NA
32,2023-08-21,Paraguay,Division Intermedia,Sportivo Carapegua,24 de Setiembre,2,0,FT,NA
33,2023-08-21,Iceland,Besta Deildin,Stjarnan,Kr Reykjavik,3,1,FT,NA
34,2023-08-21,Portugal,Liga Portugal,Famalicao,Moreirense,0,0,FT,NA
35,2023-08-21,England,Premier League,Crystal Palace,Arsenal,0,1,FT,NA
36,2023-08-21,Republic of Ireland,Fa Cup,Cork City,Waterford United,3,0,FT,NA
37,2023-08-21,Republic of Ireland,Fa Cup,Ucd,Galway United,1,5,FT,NA
38,2023-08-21,England,Northern Premier Division,Bradford Park Avenue,Morpeth Town Afc,2,0,FT,NA
39,2023-08-21,France,Ligue 2,Ajaccio,Bordeaux,0,0,FT,NA
40,2023-08-21,Argentina,Primera B Metropolitana Clausura,Dock Sud,Acassuso,1,1,FT,NA
41,2023-08-21,Argentina,Primera B Metropolitana Clausura,Los Andes,Argentino de Quilmes,1,0,FT,NA
42,2023-08-21,Iceland,1. Deild,Aegir,Grotta,2,2,FT,NA
43,2023-08-21,Iceland,1. Deild,Fjolnir,Grindavik,5,1,FT,NA
44,2023-08-21,Iceland,1. Deild,Kordrengir,Grotta,NA,NA,NA,NA
45,2023-08-21,Argentina,Primera C Clausura,Deportivo Espanol,Real Pilar,0,1,FT,NA
46,2023-08-21,Argentina,Primera C Clausura,Leandro N. Alem,Excursionistas,0,0,FT,NA
47,2023-08-21,Argentina,Primera C Clausura,Victoriano Arenas,Deportivo Laferrere,0,1,FT,NA
48,2023-08-21,Argentina,Primera C Clausura,Midland,Central Cordoba Rosario,1,1,FT,NA
49,2023-08-21,Hungary,Nb I,Debreceni Vsc,Kisvarda FC,4,1,FT,NA
50,2023-08-21,Netherlands,Eerste Divisie,Jong Ajax,De Graafschap,1,2,FT,NA
51,2023-08-21,Netherlands,Eerste Divisie,Jong Utrecht,Groningen,1,0,FT,NA
52,2023-08-21,Serbia,Prva Liga,Dubocica,Proleter Novi Sad,2,1,FT,NA
53,2023-08-21,Turkey,1. Lig,Eyupspor,Kocaelispor,2,0,FT,NA
54,2023-08-21,Argentina,Primera Nacional Zona A,Defensores Unidos,Temperley,1,1,FT,NA
55,2023-08-21,Argentina,Primera Nacional Zona A,Flandria,Nueva Chicago,0,1,FT,NA
56,2023-08-21,Argentina,Primera Nacional Zona A,San Martin S.j.,San Martin Tucuman,0,0,FT,NA
57,2023-08-21,Turkey,Super Lig,Ankaragucu,Adana Demirspor,1,1,FT,NA
58,2023-08-21,Turkey,Super Lig,Samsunspor,Fenerbahce,0,2,FT,NA
59,2023-08-21,Poland,I Liga,Znicz Pruszkow,Katowice,0,2,FT,NA
60,2023-08-21,Norway,3. Divisjon Avd. 1,Grorud 2,Stabaek 2,0,2,FT,NA
61,2023-08-21,Mexico,Liga Mx Apertura,Cruz Azul,Santos Laguna,2,2,FT,NA
62,2023-08-21,Mexico,Liga Mx Apertura,Club Queretaro,Pachuca,1,1,FT,NA
63,2023-08-21,Mexico,Liga Mx Apertura,Club America,Atlas,1,1,FT,NA
64,2023-08-21,Mexico,Liga Mx Apertura,Necaxa,U.a.n.l. - Tigres,0,3,FT,NA
65,2023-08-21,USA,Nisa,Albion San Diego,Michigan Stars,NA,NA,NA,NA
66,2023-08-21,USA,Nisa,Los Angeles Force,Gold Star FC Detroit,NA,NA,NA,NA
67,2023-08-21,India,Durand Cup,Kerala Blasters,Indian Air Force,5,0,FT,NA
68,2023-08-21,India,Durand Cup,Rajasthan United,Army Red,0,0,FT,NA
69,2023-08-21,Mexico,Liga Mx Femenil Apertura Women,Club Tijuana (w),Toluca (w),3,0,FT,NA
70,2023-08-21,Mexico,Liga Mx Femenil Apertura Women,Cruz Azul (w),Guadalajara-chivas (w),1,5,FT,NA
71,2023-08-21,Chile,Primera B,Iquique,Deportes Recoleta,2,1,FT,NA
72,2023-08-21,Costa Rica,Primera Division Apertura,Municipal Liberia,Municipal Grecia,1,1,FT,NA
73,2023-08-21,Costa Rica,Primera Division Apertura,Puntarenas FC,CS Herediano,1,1,FT,NA
74,2023-08-21,Honduras,Liga Nacional-apertura,CD Olimpia,Olancho FC,NA,NA,NA,NA
75,2023-08-21,Honduras,Liga Nacional-apertura,Vida,CD Motagua,3,3,FT,NA
76,2023-08-21,Argentina,Copa De La Liga Profesional,Argentinos Jrs,River Plate,3,2,FT,NA
77,2023-08-21,Argentina,Copa De La Liga Profesional,Huracan,Banfield,2,0,FT,NA
78,2023-08-21,Bolivia,Primera Division,Guabira,The Strongest,NA,NA,NA,NA
79,2023-08-21,Norway,3. Divisjon Avd. 2,Raufoss 2,Hoedd 2,3,3,FT,NA
